iter	Logloss
0	0.5338428606
1	0.4452284459
2	0.3493646676
3	0.2850750296
4	0.2348680115
5	0.1969876535
6	0.1601293073
7	0.1328085109
8	0.1080160413
9	0.09047703334
10	0.07525421688
11	0.06488880157
12	0.05866117205
13	0.05177944183
14	0.04352711814
15	0.03967660359
16	0.0326328768
17	0.02803900582
18	0.02427406856
19	0.0218626867
20	0.0193972247
21	0.01725225994
22	0.0152150413
23	0.01434294701
24	0.0132709653
25	0.01193748202
26	0.01073013169
27	0.009590292658
28	0.00905033929
29	0.008642229353
30	0.007599613326
31	0.006851039614
32	0.006255556515
33	0.005964568002
34	0.00555161408
35	0.005324534689
36	0.004893665314
37	0.004702435902
38	0.004373299735
39	0.004219263622
40	0.003925233909
41	0.00386054584
42	0.003633163657
43	0.003525609629
44	0.003388190951
45	0.003320799896
46	0.003291788782
47	0.003157191277
48	0.003041284766
49	0.002873832158
50	0.002779521091
51	0.002645307098
52	0.00249804054
53	0.002426132134
54	0.002398671082
55	0.002370384761
56	0.00232074976
57	0.002269150189
58	0.002216632366
59	0.00213637948
60	0.002036573376
61	0.001922400338
62	0.001877497264
63	0.001791489635
64	0.001683648314
65	0.001603072711
66	0.001566848244
67	0.001487166371
68	0.001448951449
69	0.001422965271
70	0.001380882944
71	0.001342407465
72	0.001295414993
73	0.001280932341
74	0.001250342982
75	0.001194670626
76	0.001169260911
77	0.001144865411
78	0.001117957149
79	0.001115208864
80	0.001098448804
81	0.00107682475
82	0.001060871737
83	0.001038178546
84	0.001038171734
85	0.001038155385
86	0.001038162538
87	0.001022445219
88	0.0009980343069
89	0.000979843906
90	0.0009612497262
91	0.0009284091847
92	0.0009073304279
93	0.0008844978469
94	0.0008844978469
95	0.0008844917161
96	0.0008583756856
97	0.0008431191104
98	0.0008431392057
99	0.0008287576267
100	0.0008286898477
101	0.0008287123271
102	0.0008287459612
103	0.0008024207183
104	0.0007888388634
105	0.00078879135
106	0.0007757275445
107	0.0007757464477
108	0.0007757464477
109	0.0007757234573
110	0.0007613420486
111	0.000742385728
112	0.0007264418261
113	0.0007151003395
114	0.0007151003395
115	0.0007019281387
116	0.0006884490592
117	0.000677740659
118	0.0006777198826
119	0.0006627607771
120	0.0006627722723
121	0.0006627489839
122	0.0006627591167
123	0.0006627452799
124	0.0006627452799
125	0.0006494552323
126	0.0006494464619
127	0.0006348692519
128	0.0006213463204
129	0.0006213463204
130	0.0006213014892
131	0.0006213014892
132	0.0006213014892
133	0.0006213014892
134	0.0006213127715
135	0.0006213296311
136	0.0006213501947
137	0.0006213197112
138	0.0006213142191
139	0.0006212701116
140	0.0006212701116
141	0.0006213184765
142	0.0006115458267
143	0.0006115114689
144	0.0006115296909
145	0.0006115277324
146	0.0006115017193
147	0.0006020569376
148	0.0005907232421
149	0.0005907424859
150	0.0005907424859
151	0.0005907424859
152	0.0005907540662
153	0.0005907421453
154	0.000590746573
155	0.0005907424859
156	0.0005907314164
157	0.0005906914813
158	0.0005906914813
159	0.0005907175371
160	0.0005907116192
161	0.0005907089795
162	0.0005906640206
163	0.0005906652127
164	0.0005906369005
165	0.0005906975269
166	0.0005906202963
167	0.0005906543561
168	0.0005906111428
169	0.0005831696732
170	0.0005831010853
171	0.0005831144537
172	0.000583127737
173	0.0005831028734
174	0.000583126545
175	0.0005831175191
176	0.0005831022773
177	0.0005830858861
178	0.0005830600006
179	0.0005830546788
180	0.0005830279418
181	0.000583033732
182	0.000582995585
183	0.0005830055475
184	0.0005830430133
185	0.0005829978841
186	0.0005829952444
187	0.0005829969474
188	0.0005829947335
189	0.0005830018861
190	0.0005830205338
191	0.0005830089109
192	0.0005830091238
193	0.0005829970326
194	0.0005829681243
195	0.0005829946484
196	0.0005830077614
197	0.0005830168724
198	0.0005830122743
199	0.0005830147862
200	0.0005830124021
201	0.0005830037594
202	0.0005829714452
203	0.0005829854522
204	0.0005830035039
205	0.0005829615252
206	0.0005829612698
207	0.0005829416854
208	0.0005829411319
209	0.000582949434
210	0.000582953138
211	0.0005829268694
212	0.0005829572678
213	0.0005829649312
214	0.0005829382794
215	0.0005829674006
216	0.0005829755749
217	0.0005829430052
218	0.0005829514776
219	0.0005829336814
220	0.0005829121385
221	0.0005829626322
222	0.0005829303179
223	0.0005829492637
224	0.0005829416003
225	0.0005829469647
226	0.0005828950235
227	0.0005829161406
228	0.0005829241872
229	0.0005829151188
230	0.0005829235486
231	0.0005829016226
232	0.0005828946403
233	0.0005828849333
234	0.0005828719054
235	0.0005828836135
236	0.0005829036236
237	0.0005828977908
238	0.0005828994938
239	0.0005828972374
240	0.0005829059652
241	0.0005828656469
242	0.0005828887224
243	0.0005828854016
244	0.0005828492982
245	0.0005828638588
246	0.0005828879135
247	0.0005828478507
248	0.000582834397
